"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_label","deathDate","deathPlace_label","citizenship_label","nationality_label","stateOfOrigin_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label","nobel_prize"
"NULL","Arvid Carlsson","Nobel Prize in Physiology or Medicine","1923-01-25","1923-01-01T00:00:00+02:00","Uppsala","NULL","NULL","NULL","Sweden","NULL","Lund University","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JapanPrizeLaureates|LivingPeople|Acquirer109764201|Adult109605289|Biologist109855630|CausalAgent100007347|Doctor110020890|HealthProfessional110165109|Honoree110183757|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Pharmacist110421470|Pharmacologist110421753|Professional110480253|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|MedicalPractitioner110305802|PhysicalEntity100001930|SwedishNeuroscientists|SwedishNobelLaureates|SwedishPharmacologists|SwedishPhysicians|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|PeopleConnectedToLundUniversity|PeopleFromUppsala|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Philip Warren Anderson","NULL","1923-12-13","1923-01-01T00:00:00+02:00","{Indianapolis|United States}","NULL","NULL","NULL","United States","NULL","{United States Naval Research Laboratory|Harvard University}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|TheoreticalPhysicists|UniversityLaboratoryHighSchool(UrbanaIllinois)Alumni|Academician109759069|AcademicsOfTheUniversityOfCambridge|Acquirer109764201|Adult109605289|Alumnus109786338|AmericanNobelLaureates|AmericanPhysicists|Associate109816771|CausalAgent100007347|Colleague109935990|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|FellowsOfChurchillCollegeCambridge|FellowsOfTheAmericanAcademyOfArtsAndSciences|PhysicalEntity100001930|ScientistsAtBellLabs|NobelLaureatesInPhysics|PeopleFromIndianapolisIndiana|PeopleFromUrbanaIllinois|YagoLegalActor}","Nobel Prize in Physics"
"NULL","Nadine Gordimer","NULL","{1923-11-20|1923-11-23}","1923-01-01T00:00:00+02:00","{Johannesburg|Union of South Africa|Transvaal Province|South Africa|Springs Gauteng}","NULL","NULL","NULL","South Africa","NULL","NULL","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Writer|HarvardUniversityPeople|HuizingaLecturers|JewishAtheists|JewishWomenWriters|LivingPeople|WhiteSouthAfricanPeople|WomenNobelLaureates|WomenNovelists|Acquirer109764201|Adult109605289|Anglo-AfricanPeople|Anti-apartheidActivists|Associate109816771|Atheist109820044|BookerPrizeWinners|CausalAgent100007347|Colleague109935990|Communicator109610660|Disbeliever110015897|Disputant109615465|Dramatist110030277|Educator110045713|Gambler110118844|Honoree110183757|Laureate110249011|Lector110252222|LivingThing100004258|Militant110315837|NonreligiousPerson109625789|Novelist110363573|Object100002684|Organism100004475|Peer109626238|Person100007846|PrizeWinner109627807|Professional110480253|Recipient109627906|Reformer110515194|Whole100003553|Writer110794014|YagoLegalActorGeo|FellowsOfTheRoyalSocietyOfLiterature|PhysicalEntity100001930|SouthAfricanAtheists|SouthAfricanDramatistsAndPlaywrights|SouthAfricanNobelLaureates|SouthAfricanNovelists|SouthAfricanPeopleOfLithuanianDescent|SouthAfricanWomenWriters|Winner110782791|NobelLaureatesInLiterature|PeopleFromSpringsGauteng|YagoLegalActor}","Nobel Prize in Literature"
"Walter Kohn","Walter Kohn","{Oliver E. Buckley Condensed Matter Prize|Nobel Prize in Chemistry}","1923-03-09","1923-01-01T00:00:00+02:00","{Vienna|First Austrian Republic}","NULL","NULL","NULL","United States","NULL","{Harvard University|University of Toronto}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishAmericanScientists|JewishPhysicists|JewishScientists|KindertransportRefugees|LivingPeople|TheoreticalChemists|Absentee109757653|Acquirer109764201|AmericanNobelLaureates|AmericanPeopleOfAustrian-JewishDescent|AmericanPhysicists|AustrianEmigrantsToTheUnitedStates|AustrianNobelLaureates|AustrianPhysicists|CausalAgent100007347|Chemist109913824|Citizen109923673|Emigrant110051975|Exile110071332|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Refugee110516016|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|Migrant110314952|National109625401|PhysicalEntity100001930|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInChemistry|PeopleFromVienna|PeopleWhoAsChildrenWereOrphanedByNazism|YagoLegalActor}","Nobel Prize in Chemistry"
"Lloyd Stowell Shapley","Lloyd Shapley","{John von Neumann Theory Prize|Nobel Memorial Prize in Economic Sciences}","1923-06-02","1923-01-01T00:00:00+02:00","Cambridge Massachusetts","NULL","NULL","NULL","United States","NULL","{Princeton University|Harvard University}","{Economics|Mathematics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|GameTheorists|JohnVonNeumannTheoryPrizeWinners|LivingPeople|MathematicalEconomists|20th-centuryMathematicians|AmericanEconomists|AmericanMathematicians|AmericanStatisticians|Associate109816771|CausalAgent100007347|Colleague109935990|Economist110043643|Gambler110118844|Intellectual109621545|LivingThing100004258|Mathematician110301261|Object100002684|Organism100004475|Peer109626238|Person100007846|PrizeWinner109627807|ResearchWorker110523076|Scientist110560637|SocialScientist110619642|Statistician110653238|Theorist110706812|Whole100003553|YagoLegalActorGeo|FellowsOfTheEconometricSociety|PhysicalEntity100001930|RANDCorporationPeople|ResearchersInStochastics|Winner110782791|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences"
"NULL","Merton Miller","Nobel Memorial Prize in Economic Sciences","1923-05-16","1923-01-01T00:00:00+02:00","{Boston|Massachusetts}","2000-06-03","{Chicago|Illinois|United States}","NULL","United States","NULL","{Harvard University|Johns Hopkins University}","Economics","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HarvardUniversityAlumni|JewishAmericanScientists|JohnsHopkinsUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanBusinessTheorists|AmericanEconomists|AmericanNobelLaureates|CausalAgent100007347|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Theorist110706812|Whole100003553|YagoLegalActorGeo|CorporateFinanceTheorists|FinancialEconomists|PhysicalEntity100001930|NobelLaureatesInEconomics|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences"
"NULL","Daniel Carleton Gajdusek","Nobel Prize in Physiology or Medicine","1923-09-09","1923-01-01T00:00:00+02:00","{Yonkers New York|United States|New York}","2008-12-12","{Norway|Tromsø}","NULL","United States","NULL","NULL","Medicine","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HarvardMedicalSchoolAlumni|Absentee109757653|Acquirer109764201|Alumnus109786338|AmericanExpatriates|AmericanNobelLaureates|AmericanPeopleConvictedOfChildSexualAbuse|AmericanPeopleOfHungarianDescent|AmericanPeopleOfSlovakDescent|CausalAgent100007347|Exile110071332|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromYonkersNewYork|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Roger Guillemin","{Nobel Prize in Physiology or Medicine|National Medal of Science}","1924-01-11","1924-01-01T00:00:00+02:00","{Dijon|France}","NULL","NULL","United States","France","NULL","{University of Burgundy|University of Montreal}","{Neurology|Biology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Universit%C3%A9DeMontr%C3%A9alAlumni|Acquirer109764201|Adult109605289|Alumnus109786338|Biologist109855630|CausalAgent100007347|Doctor110020890|Emigrant110051975|Endocrinologist110056914|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Specialist110632576|Traveler109629752|Whole100003553|YagoLegalActorGeo|Endocrinologists|FrenchEmigrantsToTheUnitedStates|FrenchNeuroscientists|FrenchNobelLaureates|FrenchPhysicians|MedicalPractitioner110305802|Migrant110314952|PhysicalEntity100001930|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|PeopleFromDijon|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Torsten Wiesel","Nobel Prize in Physiology or Medicine","1924-06-03","1924-01-01T00:00:00+02:00","Uppsala","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|KarolinskaInstitutetAlumni|LivingPeople|Acquirer109764201|Alumnus109786338|Biologist109855630|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|SwedishNeuroscientists|SwedishNobelLaureates|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|PeopleFromUppsala|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","James Black (pharmacologist)","{Lasker-DeBakey Clinical Medical Research Award|Nobel Prize in Physiology or Medicine|Royal Medal|Artois-Baillet Latour Foundation}","1924-06-14","1924-01-01T00:00:00+02:00","{Lanarkshire|Uddingston}","2010-03-22","London","British people","United Kingdom","NULL","University of St Andrews","Pharmacology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson}","Nobel Prize in Physiology or Medicine"
"Antony Hewish","Antony Hewish","{Eddington Medal|Nobel Prize in Physics}","1924-05-11","1924-01-01T00:00:00+02:00","{Cornwall|Fowey}","NULL","NULL","NULL","NULL","NULL","{Gonville and Caius College Cambridge|King's College Taunton|Cavendish Laboratory}","Radio astronomy","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|LivingPeople|Acquirer109764201|AlumniOfGonvilleAndCaiusCollegeCambridge|Alumnus109786338|Associate109816771|Astronomer109818343|BritishNobelLaureates|CausalAgent100007347|Colleague109935990|Communicator109610660|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Presenter110466387|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishAstronomers|FellowsOfChurchillCollegeCambridge|FellowsOfGonvilleAndCaiusCollegeCambridge|FellowsOfTheRoyalSociety|PhysicalEntity100001930|PresentersOfTheRoyalInstitutionChristmasLectures|NobelLaureatesInPhysics|PeopleEducatedAtKing'sCollegeTaunton|PeopleFromFowey|PeopleFromTaunton|YagoLegalActor}","Nobel Prize in Physics"
"NULL","Robert Solow","{John Bates Clark Medal|National Medal of Science|Nobel Memorial Prize in Economic Sciences}","1924-08-23","1924-01-01T00:00:00+02:00","{New York City|Brooklyn}","NULL","NULL","NULL","United States","NULL","Harvard University","Macroeconomics","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GrowthEconomists|HarvardUniversityAlumni|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanEconomists|AmericanNobelLaureates|CausalAgent100007347|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInEconomics|YagoLegalActor}","Nobel Memorial Prize in Economic Sciences"
"NULL","Georges Charpak","Nobel Prize in Physics","{1924-03-08|1924-08-01}","1924-01-01T00:00:00+02:00","{Poland|Dubrovytsia|Ukraine}","2010-09-29","Paris","NULL","France","NULL","NULL","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Lyc%C3%A9eSaint-LouisAlumni|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Emigrant110051975|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Survivor110681194|Traveler109629752|Unfortunate109630641|Whole100003553|YagoLegalActorGeo|DachauConcentrationCampSurvivors|FrenchNobelLaureates|FrenchPeopleOfPolishDescent|FrenchPhysicists|Migrant110314952|PhysicalEntity100001930|NobelLaureatesInPhysics|PolishEmigrantsToFrance|PolishNobelLaureates|YagoLegalActor}","Nobel Prize in Physics"
"NULL","Jimmy Carter","{Order of the Crown (Belgium)|Nobel Peace Prize}","1924-10-01","1924-01-01T00:00:00+02:00","Plains Georgia","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{agent|office holder|person|owl#Thing|Person|PresidentsOfTheUnitedStates|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Politician|PresidentOfOrganization|Georgia(U.S.State)StateSenators|GeorgiaSouthwesternStateUniversityAlumni|GovernorsOfGeorgia(U.S.State)|Lawgiver110249270|LivingPeople|MaleOffspring110285938|Officeholder110371450|Owner110389398|UnionCollege(NewYork)Alumni|UnitedStatesNavalAcademyAlumni|UnitedStatesNavyOfficers|WritersFromGeorgia(U.S.State)|Acquirer109764201|Alumnus109786338|AmericanDemocracyActivists|AmericanDiplomats|AmericanFarmers|AmericanHumanitarians|AmericanNobelLaureates|AmericanNovelists|AmericanPeopleOfEnglishDescent|AmericanPoliticalWriters|Benefactor109608709|Bluejacket109861395|CausalAgent100007347|Child109918248|Communicator109610660|Creator109614315|Diplomat110013927|Disputant109615465|Farmer110078806|GoodPerson110138767|Governor110140314|HeadOfState110164747|Holder110180178|Honoree110183757|Humanitarian110191613|Intellectual109621545|Laureate110249011|Leader109623038|Legislator110253995|LivingThing100004258|Male109624168|Militant110315837|MilitaryOfficer110317007|Negotiator110351874|Novelist110363573|Object100002684|Official110372373|Offspring110373998|Organism100004475|Person100007846|Politician110451263|President110467179|Recipient109627906|Reformer110515194|Relative110235549|Representative110522035|Scholar110557854|Senator110578471|Serviceman110582746|SkilledWorker110605985|Son110624074|StateSenator110650076|Whole100003553|Worker109632518|Writer110794014|YagoLegalActorGeo|ColdWarLeaders|DemocraticPartyPresidentsOfTheUnitedStates|DemocraticPartyStateGovernorsOfTheUnitedStates|PhysicalEntity100001930|SonsOfTheAmericanRevolution|Submariner110669357|Submariners|NobelPeacePrizeLaureates|PeopleFromSumterCountyGeorgia|PeopleOfTheSovietWarInAfghanistan|YagoLegalActor}","Nobel Peace Prize"
"NULL","Allan McLeod Cormack","Nobel Prize in Physiology or Medicine","1924-02-23","1924-01-01T00:00:00+02:00","{Johannesburg|South Africa}","1998-05-07","{Massachusetts|United States}","NULL","NULL","NULL","NULL","Physicist","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|WhiteSouthAfricanPeople|Acquirer109764201|AlumniOfRondeboschBoys'HighSchool|AlumniOfStJohn'sCollegeCambridge|Alumnus109786338|AmericanNobelLaureates|AmericanPeopleOfScottishDescent|Biophysicist109856267|Biophysicists|CausalAgent100007347|Citizen109923673|Creator109614315|Emigrant110051975|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|Migrant110314952|National109625401|PhysicalEntity100001930|SouthAfricanEmigrantsToTheUnitedStates|SouthAfricanInventors|SouthAfricanNobelLaureates|SouthAfricanPeopleOfScottishDescent|SouthAfricanPhysicists|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromJohannesburg|PeopleFromWinchesterMassachusetts|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Willard Boyle","{Nobel Prize in Physics|Charles Stark Draper Prize|IEEE Morris N. Liebmann Memorial Award}","1924-08-19","1924-01-01T00:00:00+02:00","{Nova Scotia|Amherst Nova Scotia|Canada}","2011-05-07","{Nova Scotia|Wallace Nova Scotia|Canada}","{Canada|United States}","NULL","NULL","{Lower Canada College|McGill University}","Applied physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|McGillUniversityAlumni|Acquirer109764201|Alumnus109786338|CanadianNobelLaureates|CanadianPhysicists|CausalAgent100007347|Friend110112591|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|Companion109945905|CompanionsOfTheOrderOfCanada|PhysicalEntity100001930|ScientistsAtBellLabs|NobelLaureatesInPhysics|PeopleFromCumberlandCountyNovaScotia|YagoLegalActor}","Nobel Prize in Physics"
"NULL","Paul Greengard","{Nobel Prize in Physiology or Medicine|NAS Award in the Neurosciences}","1925-12-11","1925-01-01T00:00:00+02:00","New York City","NULL","NULL","NULL","United States","NULL","NULL","Neuroscience","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HamiltonCollege(NewYork)Alumni|JohnsHopkinsUniversityAlumni|LivingPeople|Academician109759069|AcademicsOfTheUniversityOfCambridge|Acquirer109764201|Adult109605289|Alumnus109786338|AmericanNeuroscientists|AmericanNobelLaureates|Biologist109855630|CausalAgent100007347|Educator110045713|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Neuroscientist110354580|Object100002684|Organism100004475|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|CognitiveNeuroscientist109934488|CognitiveNeuroscientists|CognitiveScientist109934647|PhysicalEntity100001930|Neurobiologist110353928|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Roy J. Glauber","NULL","1925-09-01","1925-01-01T00:00:00+02:00","{New York City|United States|New York}","NULL","NULL","NULL","United States","NULL","Harvard University","Theoretical physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardUniversityAlumni|JewishAmericanScientists|LivingPeople|ManhattanProjectPeople|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanPhysicists|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysics|Optician110380000|Opticians|PeopleFromArlingtonMassachusetts|YagoLegalActor}","Nobel Prize in Physics"
"NULL","Simon van der Meer","Nobel Prize in Physics","1925-11-24","1925-01-01T00:00:00+02:00","{Netherlands|The Hague}","2011-03-04","{Geneva|Switzerland}","NULL","Netherlands","NULL","Delft University of Technology","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|AcceleratorPhysicists|Acquirer109764201|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchNobelLaureates|DutchPhysicists|ExperimentalPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromTheHague|YagoLegalActor}","Nobel Prize in Physics"
"John David Linsley","John Linsley","Nobel Prize in Physics","1925-03-12","NULL","{Minnesota|Minneapolis}","2002-09-25","{New Mexico|Albuquerque New Mexico}","NULL","United States","NULL","University of Minnesota","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson}","Nobel Prize in Physics"
"NULL","Joshua Lederberg","{Presidential Medal of Freedom|Nobel Prize in Physiology or Medicine|National Medal of Science}","1925-05-23","1925-01-01T00:00:00+02:00","Montclair New Jersey","2008-02-02","{New York City|NewYork–Presbyterian Hospital}","NULL","United States","NULL","{Columbia University|Stuyvesant High School|Yale University}","Microbiologist","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishAmericanScientists|YaleUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanGeneticists|AmericanNobelLaureates|ArtificialIntelligenceResearchers|Associate109816771|Biologist109855630|CausalAgent100007347|Colleague109935990|Communicator109610660|Geneticist110126424|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Negotiator110351874|Object100002684|Organism100004475|Peer109626238|Person100007846|President110467179|Recipient109627906|Representative110522035|ResearchWorker110523076|Scholar110557854|Scientist110560637|Whole100003553|Worker109632518|YagoLegalActorGeo|ColumbiaUniversityAlumni|FellowsOfTheAssociationForComputingMachinery|PhysicalEntity100001930|PresidentsOfRockefellerUniversity|StuyvesantHighSchoolAlumni|NobelLaureatesInPhysiologyOrMedicine|PeopleFromMontclairNewJersey|PeopleFromWashingtonHeightsManhattan|PhageWorkers|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Baruch Samuel Blumberg","Nobel Prize in Physiology or Medicine","1925-07-28","1925-01-01T00:00:00+02:00","{Brooklyn|New York}","2011-04-05","{California|Mountain View California}","NULL","NULL","NULL","{Union College|Balliol College Oxford|Columbia University College of Physicians and Surgeons}","{Biochemistry|Physiology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|JewishAmericanScientists|JewishInventors|MastersOfBalliolCollegeOxford|UnionCollege(NewYork)Alumni|Acquirer109764201|Adult109605289|AlumniOfBalliolCollegeOxford|Alumnus109786338|AmericanNobelLaureates|AmericanPhysicians|Artist109812338|Associate109816771|CausalAgent100007347|Colleague109935990|Creator109614315|Doctor110020890|HealthProfessional110165109|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Maestro110280130|Object100002684|Organism100004475|Peer109626238|Person100007846|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaMedicalSchoolAlumni|ColumbiaUniversityAlumni|FarRockawayHighSchoolAlumni|FellowsOfTheAmericanAcademyOfArtsAndSciences|MedicalPractitioner110305802|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBrooklyn|PeopleFromFarRockawayQueens|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"NULL","Oliver Smithies","{Albert Lasker Award for Basic Medical Research|Nobel Prize in Physiology or Medicine|Wolf Prize in Medicine}","1925-06-23","1925-01-01T00:00:00+02:00","Halifax West Yorkshire","NULL","NULL","NULL","NULL","NULL","{University of Oxford|Balliol College Oxford}","{Biochemistry|Genetics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Absentee109757653|Acquirer109764201|AmericanNobelLaureates|Biologist109855630|BritishBiologists|BritishExpatriatesInTheUnitedStates|BritishNobelLaureates|CausalAgent100007347|Exile110071332|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromHalifaxWestYorkshire|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
"Robert Geoffrey Edwards","Robert Edwards (physiologist)","Nobel Prize in Physiology or Medicine","1925-09-27","1925-01-01T00:00:00+02:00","Batley","2013-04-10","NULL","United Kingdom","United Kingdom","NULL","{Bangor University|University of Edinburgh}","{Physiology|Reproductive medicine}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson}","Nobel Prize in Physiology or Medicine"
"NULL","Leo Esaki","{Stuart Ballantine Medal|Nobel Prize in Physics|IEEE Medal of Honor}","1925-03-12","1925-01-01T00:00:00+02:00","Osaka","NULL","NULL","NULL","Japan","NULL","NULL","Applied physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|IBMFellows|JapanPrizeLaureates|JapaneseNobelLaureates|JapanesePhysicists|LivingPeople|Acquirer109764201|Associate109816771|CausalAgent100007347|Colleague109935990|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|SemiconductorPhysicists|NobelLaureatesInPhysics|PeopleFromOsaka|YagoLegalActor}","Nobel Prize in Physics"
"NULL","Martin Rodbell","{Nobel Prize in Physiology or Medicine|Gairdner Foundation International Award|Richard Lounsbery Award}","1925-12-01","1925-01-01T00:00:00+02:00","{Maryland|United States|Baltimore}","1998-12-07","{Chapel Hill North Carolina|United States}","NULL","United States","NULL","{Johns Hopkins University|University of Washington}","Biochemist","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishAmericanScientists|JohnsHopkinsUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanBiochemists|AmericanNobelLaureates|BaltimoreCityCollegeAlumni|Biochemist109854915|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromBaltimoreMaryland|YagoLegalActor}","Nobel Prize in Physiology or Medicine"
