"birthName","rdf-schema#label","award_label","birthDate","birthYear","birthPlace_labeldeathDate","deathPlace_label","citizenship_label","nationality_label","almaMater_label","field_label","22-rdf-syntax-ns#type_label"
"NULL","David Lee (physicist)","{Oliver E. Buckley Condensed Matter Prize|Nobel Prize in Physics|Francis Simon}","1931-01-20","1931-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","{Harvard University|Yale University|University of Connecticut}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardUniversityAlumni|LivingPeople|YaleUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanPhysicists|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromWestchesterCountyNewYork|YagoLegalActor}"
"Alice Ann Laidlaw","Alice Munro","{Nobel Prize in Literature|Governor General's Awards|Scotiabank Giller Prize|Man Booker International Prize}","1931-07-10","1931-01-01T00:00:00+02:00","NULL","NULL","NULL","Canadians","University of Western Ontario","NULL","{agent|artist|person|writer|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Writer|LivingPeople|WomenShortStoryWriters|20th-centuryWomenWriters|Associate109816771|CanadianShortStoryWriters|CanadianWomenWriters|CausalAgent100007347|Colleague109935990|Communicator109610660|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Whole100003553|Writer110794014|YagoLegalActorGeo|FellowsOfTheRoyalSocietyOfLiterature|PhysicalEntity100001930|PostmodernWriters|PeopleFromHuronCountyOntario|YagoLegalActor}"
"NULL","Martinus J. G. Veltman","Nobel Prize in Physics","1931-06-27","1931-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","Utrecht University","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|TheoreticalPhysicists|UtrechtUniversityAlumni|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|DutchNobelLaureates|DutchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromWaalwijk|YagoLegalActor}"
"NULL","John Robert Schrieffer","{Nobel Prize in Physics|Comstock Prize in Physics}","1931-05-31","1931-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","{Massachusetts Institute of Technology|University of Illinois at Urbana–Champaign}","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Acquirer109764201|AmericanNobelLaureates|AmericanPhysicists|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysics|PeopleFromOakParkIllinois|YagoLegalActor}"
"NULL","Luc Montagnier","Nobel Prize in Physiology or Medicine","1932-08-18","1932-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|AIDSResearchers|JapanPrizeLaureates|LivingPeople|MedicalResearchers|Virologists|Acquirer109764201|Biologist109855630|CausalAgent100007347|Honoree110183757|Laureate110249011|LivingThing100004258|Microbiologist110313580|Object100002684|Organism100004475|Person100007846|Recipient109627906|ResearchWorker110523076|Scientist110560637|Virologist110755394|Whole100003553|YagoLegalActorGeo|FrenchBiologists|FrenchNobelLaureates|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromIndre|YagoLegalActor}"
"NULL","Michael Smith (chemist)","Nobel Prize in Chemistry","1932-04-26","1932-01-01T00:00:00+02:00","NULL","{British Columbia|Vancouver|Canada}","NULL","Canada","University of Manchester","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Geneticists|Acquirer109764201|AlumniOfTheUniversityOfManchester|Alumnus109786338|Associate109816771|Biochemist109854915|Biochemists|Biologist109855630|BritishNobelLaureates|CanadianChemists|CanadianNobelLaureates|CausalAgent100007347|Chemist109913824|Citizen109923673|Colleague109935990|Friend110112591|Geneticist110126424|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|Companion109945905|CompanionsOfTheOrderOfCanada|FellowsOfTheRoyalSociety|National109625401|PhysicalEntity100001930|NaturalizedCitizensOfCanada|NobelLaureatesInChemistry|PeopleAssociatedWithTheUniversityOfManchester|PeopleEducatedAtArnoldSchool|PeopleFromBlackpool|YagoLegalActor}"
"NULL","Sheldon Lee Glashow","Nobel Prize in Physics","1932-12-05","1932-01-01T00:00:00+02:00","NULL","NULL","NULL","United States","{Harvard University|Cornell University}","Theoretical physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HarvardUniversityAlumni|JewishAmericanScientists|LivingPeople|TheoreticalPhysicists|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|AmericanPeopleOfRussian-JewishDescent|AmericanPhysicists|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|CornellUniversityAlumni|PhysicalEntity100001930|NobelLaureatesInPhysics|YagoLegalActor}"
"Dudley Robert Herschbach","Dudley R. Herschbach","{Nobel Prize in Chemistry|Irving Langmuir Award}","1932-06-18","1932-01-01T00:00:00+02:00","NULL","NULL","NULL","United States","{Stanford University|Harvard University}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HarvardUniversityAlumni|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|CausalAgent100007347|Chemist109913824|Defender109614684|Guard110150071|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Lookout110271216|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Watchman110770059|Whole100003553|YagoLegalActorGeo|DistinguishedEagleScouts|PhysicalEntity100001930|Preserver110466918|StanfordUniversityAlumni|NobelLaureatesInChemistry|PeopleFromSanJoseCalifornia|PhysicalChemists|YagoLegalActor}"
"NULL","Oliver E. Williamson","{John von Neumann Award|Nobel Memorial Prize in Economic Sciences}","1932-09-27","1932-01-01T00:00:00+02:00","NULL","NULL","NULL","United States","{Massachusetts Institute of Technology|Stanford University|Carnegie Mellon University|Master of Business Administration|Bachelor of Science|Doctor of Philosophy}","Microeconomics","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|InstitutionalEconomists|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanBusinessTheorists|AmericanEconomists|AmericanNobelLaureates|Associate109816771|CarnegieMellonUniversityAlumni|CausalAgent100007347|Colleague109935990|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Theorist110706812|Whole100003553|YagoLegalActorGeo|FellowsOfTheEconometricSociety|PhysicalEntity100001930|NobelLaureatesInEconomics|YagoLegalActor}"
"NULL","Pierre-Gilles de Gennes","{Nobel Prize in Physics|Wolf Prize|Lorentz Medal|Harvey Prize}","1932-10-24","1932-01-01T00:00:00+02:00","NULL","{Orsay|France}","NULL","France","École Normale Supérieure","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Lyc%C3%A9eSaint-LouisAlumni|Acquirer109764201|AlumniOfThe%C3%89coleNormaleSup%C3%A9rieure|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ExperimentalPhysicists|FrenchNobelLaureates|FrenchPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|YagoLegalActor}"
"NULL","Robert Mundell","Nobel Memorial Prize in Economic Sciences","1932-10-24","1932-01-01T00:00:00+02:00","NULL","NULL","NULL","Canada","{Massachusetts Institute of Technology|UBC Vancouver School of Economics|University of Washington|London School of Economics}","Monetary economics","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GuggenheimFellows|InternationalEconomists|LivingPeople|Acquirer109764201|AlumniOfTheLondonSchoolOfEconomics|Alumnus109786338|Associate109816771|CanadianEconomists|CanadianNobelLaureates|CausalAgent100007347|Colleague109935990|Economist110043643|Friend110112591|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|Companion109945905|CompanionsOfTheOrderOfCanada|PhysicalEntity100001930|Supply-sideEconomists|MonetaryEconomists|NobelLaureatesInEconomics|PeopleFromKingstonOntario|PeopleFromMapleRidgeBritishColumbia|YagoLegalActor}"
"NULL","Walter Gilbert","Nobel Prize in Chemistry","1932-03-21","1932-01-01T00:00:00+02:00","NULL","NULL","NULL","United States","{Harvard University|Trinity College Cambridge}","{Biochemistry|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardFellows|HarvardUniversityAlumni|LivingPeople|Acquirer109764201|AlumniOfTrinityCollegeCambridge|Alumnus109786338|AmericanBiochemists|AmericanNobelLaureates|AmericanPhysicists|Associate109816771|Biochemist109854915|CausalAgent100007347|Chemist109913824|Colleague109935990|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInChemistry|PeopleFromBostonMassachusetts|YagoLegalActor}"
"NULL","François Englert","{Nobel Prize in Physics|Wolf Prize in Physics|Francqui Prize|Sakurai Prize}","1932-11-06","1932-01-01T00:00:00+02:00","NULL","NULL","NULL","Belgium","Université libre de Bruxelles","Theoretical physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|LivingPeople|TheoreticalPhysicists|Academician109759069|Adult109605289|BelgianAcademics|BelgianPhysicists|CausalAgent100007347|Educator110045713|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Professional110480253|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|ParticlePhysicists|YagoLegalActor}"
"NULL","Melvin Schwartz","Nobel Prize in Physics","1932-11-02","1932-01-01T00:00:00+02:00","NULL","{Idaho|Twin Falls Idaho}","NULL","United States","Columbia University","Particle physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Alumnus109786338|AmericanNobelLaureates|BrookhavenNationalLaboratoryNobelLaureates|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ColumbiaUniversityAlumni|ExperimentalPhysicists|PhysicalEntity100001930|NobelLaureatesInPhysics|YagoLegalActor}"
"Paul Jozef Crutzen","Paul J. Crutzen","{Tyler Prize for Environmental Achievement|Nobel Prize in Chemistry}","1933-12-03","1933-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","{Chemistry|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Acquirer109764201|Advocate109774783|CausalAgent100007347|Chemist109913824|Climatologist109929202|CommandingOfficer109941964|Expert109617867|Honoree110183757|Laureate110249011|LivingThing100004258|MilitaryOfficer110317007|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scientist110560637|Serviceman110582746|SkilledWorker110605985|Whole100003553|Worker109632518|YagoLegalActorGeo|Climatologists|CommandersOfTheOrderOfTheNetherlandsLion|DutchChemists|DutchNobelLaureates|PhysicalEntity100001930|SustainabilityAdvocates|NobelLaureatesInChemistry|PeopleFromAmsterdam|YagoLegalActor}"
"NULL","Peter Mansfield","{Royal Society|Nobel Prize in Physiology or Medicine|Orders decorations and medals of the United Kingdom}","1933-10-09","1933-01-01T00:00:00+02:00","NULL","NULL","United Kingdom","English people","{Queen Mary University of London|University of London}","NULL","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Academician109759069|AcademicsOfTheUniversityOfNottingham|Acquirer109764201|Adult109605289|AlumniOfQueenMaryUniversityOfLondon|Alumnus109786338|Associate109816771|Biophysicist109856267|Biophysicists|BritishNobelLaureates|CausalAgent100007347|Colleague109935990|Creator109614315|Educator110045713|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|EnglishInventors|EnglishPhysicists|FellowsOfTheRoyalSociety|PhysicalEntity100001930|NobelLaureatesInPhysiologyOrMedicine|PeopleFromPeckham|YagoLegalActor}"
"NULL","Heinrich Rohrer","{Nobel Prize in Physics|Elliott Cresson Medal}","1933-06-06","1933-01-01T00:00:00+02:00","NULL","Wollerau","NULL","Switzerland","NULL","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LivingPeople|Microscopist110313872|Microscopists|Acquirer109764201|Alumnus109786338|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ETHZurichAlumni|ExperimentalPhysicists|PhysicalEntity100001930|SwissNobelLaureates|SwissPhysicists|NobelLaureatesInPhysics|YagoLegalActor}"
"NULL","Edmund Phelps","{Legion of Honour|Nobel Memorial Prize in Economic Sciences}","1933-07-26","1933-01-01T00:00:00+02:00","NULL","NULL","NULL","United States","{Amherst College|Yale University}","Macroeconomics","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|GuggenheimFellows|LivingPeople|Macroeconomist110279392|Macroeconomists|YaleUniversityAlumni|Acquirer109764201|Alumnus109786338|AmericanEconomists|AmericanNobelLaureates|AmherstCollegeAlumni|Associate109816771|CausalAgent100007347|Colleague109935990|Economist110043643|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|SocialScientist110619642|Whole100003553|YagoLegalActorGeo|FellowsOfTheEconometricSociety|PhysicalEntity100001930|NobelLaureatesInEconomics|PeopleFromEvanstonIllinois|PeopleFromWestchesterCountyNewYork|YagoLegalActor}"
"John Bertrand Gurdon","John Gurdon","{Albert Lasker Award for Basic Medical Research|Nobel Prize in Physiology or Medicine|Wolf Prize in Medicine}","1933-10-02","1933-01-01T00:00:00+02:00","NULL","NULL","NULL","English people","Christ Church Oxford","Developmental biology","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|FullerianProfessorsOfPhysiology|LivingPeople|MastersOfMagdaleneCollegeCambridge|Academician109759069|Adult109605289|Agnostic109779124|AlumniOfChristChurchOxford|Alumnus109786338|Artist109812338|Associate109816771|Biologist109855630|BritishAgnostics|BritishBiologists|CausalAgent100007347|Colleague109935990|Contestant109613191|Creator109614315|Educator110045713|Golfer110136959|Intellectual109621545|LivingThing100004258|Maestro110280130|Medalist110304914|Object100002684|Organism100004475|Peer109626238|Person100007846|Player110439851|Professional110480253|Professor110480730|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|FellowsOfChurchillCollegeCambridge|FellowsOfTheRoyalSociety|PhysicalEntity100001930|RoyalMedalWinners|YagoLegalActor}"
"NULL","Richard R. Ernst","Nobel Prize in Chemistry","1933-08-14","1933-01-01T00:00:00+02:00","NULL","NULL","NULL","Switzerland","NULL","{Chemistry|Physics}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|LivingPeople|Acquirer109764201|Alumnus109786338|Associate109816771|Atheist109820044|CausalAgent100007347|Chemist109913824|Colleague109935990|Disbeliever110015897|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|NonreligiousPerson109625789|Object100002684|Organism100004475|Peer109626238|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|ETHZurichAlumni|FellowsOfBangladeshAcademyOfSciences|PhysicalEntity100001930|SwissAtheists|SwissChemists|SwissNobelLaureates|NobelLaureatesInChemistry|PeopleFromTheCantonOfZurich|YagoLegalActor}"
"NULL","Robert Curl","Nobel Prize in Chemistry","1933-08-23","1933-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","{Rice University|University of California Berkeley}","Chemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|LivingPeople|Acquirer109764201|Alumnus109786338|AmericanChemists|AmericanNobelLaureates|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|RiceUniversityAlumni|NobelLaureatesInChemistry|PeopleFromAliceTexas|YagoLegalActor}"
"NULL","Amartya Sen","{Bharat Ratna|National Humanities Medal|Nobel Memorial Prize in Economic Sciences}","1933-11-03","1933-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","{Presidency University Kolkata|Trinity College Cambridge}","{Welfare economics|Development economics}","{agent|economist|person|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|HonoraryFellowsOfDarwinCollegeCambridge|IndianAcademics|IndianAtheists|IndianEconomists|IndianNobelLaureates|IndianPeopleOfBangladeshiDescent|LivingPeople|MastersOfTrinityCollegeCambridge|TrusteesOfTheBritishMuseum|Visva-BharatiUniversityAlumni|WesleyanUniversityPeople|Academician109759069|AcademicsOfTheLondonSchoolOfEconomics|Acquirer109764201|Adult109605289|AlumniOfTrinityCollegeCambridge|Alumnus109786338|Artist109812338|Associate109816771|Atheist109820044|BengaliNobelLaureates|BengaliPeople|CausalAgent100007347|Colleague109935990|Communicator109610660|Creator109614315|Disbeliever110015897|Economist110043643|Educator110045713|Expert109617867|Fiduciary110086074|HeadOfState110164747|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Maestro110280130|Negotiator110351874|NonreligiousPerson109625789|Object100002684|Organism100004475|Peer109626238|Person100007846|President110467179|Professional110480253|Recipient109627906|Representative110522035|Scholar110557854|Scientist110560637|SocialScientist110619642|Specialist110631941|Theorist110706812|Trustee110732314|Whole100003553|YagoLegalActorGeo|DevelopmentEconomists|DevelopmentSpecialists|FellowsOfAllSoulsCollegeOxford|FellowsOfNuffieldCollegeOxford|FellowsOfTheAmericanAcademyOfArtsAndSciences|FellowsOfTheBritishAcademy|FellowsOfTheEconometricSociety|FeministEconomists|PhysicalEntity100001930|PresidencyUniversityKolkataAlumni|PresidentsOfTheEconometricSociety|NobelLaureatesInEconomics|PeopleAssociatedWithSantiniketan|PeopleFromWestBengal|PoliticalTheorists|YagoLegalActor}"
"NULL","Claude Cohen-Tannoudji","{Nobel Prize in Physics|Lilienfeld Prize|Harvey Prize}","1933-04-01","1933-01-01T00:00:00+02:00","NULL","NULL","NULL","Algeria","NULL","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|JewishInventors|LaserResearchers|LivingPeople|Acquirer109764201|AlgerianEmigrantsToFrance|AlumniOfThe%C3%89coleNormaleSup%C3%A9rieure|Alumnus109786338|CausalAgent100007347|Creator109614315|Emigrant110051975|Honoree110183757|Intellectual109621545|Inventor110214637|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|ResearchWorker110523076|Scholar110557854|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|FrenchNobelLaureates|FrenchPeopleOfAlgerianDescent|FrenchPhysicists|Migrant110314952|PhysicalEntity100001930|NobelLaureatesInPhysics|OpticalPhysicists|PeopleFromConstantineAlgeria|YagoLegalActor}"
"NULL","Charles K. Kao","{Japan Prize|Marconi Prize|Faraday Medal|James C. McGroddy Prize for New Materials|Stuart Ballantine Medal|Nobel Prize in Physics|Asian of the Century|Charles Stark Draper Prize|Order of the British Empire|Grand Bauhinia Medal|IEEE Alexander Graham Bell Medal|IEEE Morris N. Liebmann Memorial Award|3463 Kaokuen|C&C Prize|Prince Philip Medal|SPIE Gold Medal}","1933-11-04","1933-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","{University of Greenwich|University College London|University of London}","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|HongKongAcademics|HongKongEmigrantsToTheUnitedStates|HongKongEngineers|HongKongNobelLaureates|HongKongScientists|JapanPrizeLaureates|LivingPeople|ViceChancellor110751026|ViceChancellorsAndPresidentsOfUniversitiesInHongKong|YaleUniversityFellows|Academician109759069|AcademicsOfImperialCollegeLondon|AcademicsOfQueenMaryUniversityOfLondon|Acquirer109764201|Administrator109770949|Adult109605289|AlumniOfTheUniversityOfGreenwich|AlumniOfUniversityCollegeLondon|Alumnus109786338|AmericanAcademics|AmericanElectricalEngineers|AmericanNobelLaureates|AmericanPhysicists|Associate109816771|BritishAcademics|BritishElectricalEngineers|BritishNobelLaureates|BritishPeopleOfHongKongDescent|BritishPhysicists|BritishScientists|CausalAgent100007347|Citizen109923673|Colleague109935990|Educator110045713|ElectricalEngineer110049017|Emigrant110051975|Engineer109615807|Head110162991|Honoree110183757|Intellectual109621545|Laureate110249011|Leader109623038|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Physicist110428004|Professional110480253|Recipient109627906|Scholar110557854|Scientist110560637|Traveler109629752|Whole100003553|YagoLegalActorGeo|ChineseEducators|ChineseEngineers|ChinesePhysicists|EthnicChineseNobelLaureates|FellowsOfTheInstitutionOfEngineeringAndTechnology|FellowsOfTheRoyalAcademyOfEngineering|FellowsOfTheRoyalSociety|Migrant110314952|National109625401|PhysicalEntity100001930|ShanghaiNobelLaureates|NaturalisedCitizensOfTheUnitedKingdom|NaturalizedCitizensOfTheUnitedStates|NobelLaureatesInPhysics|PeopleWithAlzheimer'sDisease|YagoLegalActor}"
"NULL","John L. Hall","Nobel Prize in Physics","1934-08-21","1934-01-01T00:00:00+02:00","NULL","NULL","NULL","United States","Carnegie Institute of Technology","Physics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|LaserResearchers|LivingPeople|Acquirer109764201|AlumniOfTheUniversityOfGlasgow|Alumnus109786338|AmericanNobelLaureates|AmericanPhysicists|CarnegieMellonUniversityAlumni|CausalAgent100007347|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Physicist110428004|Recipient109627906|ResearchWorker110523076|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|NobelLaureatesInPhysics|OpticalPhysicists|PeopleFromDenverColorado|YagoLegalActor}"
"NULL","Daniel Kahneman","{University of Louisville|American Psychological Association|Association for Psychological Science|Nobel Memorial Prize in Economic Sciences}","1934-03-05","1934-01-01T00:00:00+02:00","NULL","NULL","NULL","{Israel|United States}","{University of California Berkeley|Hebrew University of Jerusalem}","{Economics|Psychology}","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|HarvardFellows|IsraeliEmigrantsToTheUnitedStates|IsraeliNobelLaureates|IsraeliPeopleOfLithuanianOrigin|IsraeliScientists|JewishAmericanScientists|LivingPeople|Acquirer109764201|AmericanPeopleOfLithuanian-JewishDescent|AmericanPsychologists|Associate109816771|BehavioralEconomists|CausalAgent100007347|Colleague109935990|Economist110043643|Emigrant110051975|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Peer109626238|Person100007846|Psychologist110488865|Recipient109627906|Scientist110560637|SocialScientist110619642|Theorist110706812|Traveler109629752|Whole100003553|YagoLegalActorGeo|CognitiveScientist109934647|CognitiveScientists|FellowsOfTheAmericanAcademyOfArtsAndSciences|FellowsOfTheEconometricSociety|FellowsOfTheSocietyOfExperimentalPsychologists|FinancialEconomists|FramingTheorists|Migrant110314952|PhysicalEntity100001930|SocialPsychologists|NobelLaureatesInEconomics|PeopleFromTelAviv|YagoLegalActor}"
"NULL","Bengt I. Samuelsson","Nobel Prize in Physiology or Medicine","1934-05-21","1934-01-01T00:00:00+02:00","NULL","NULL","NULL","Sweden","NULL","Biochemistry","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|PersonWithOccupation|Scientist|LivingPeople|Acquirer109764201|Alumnus109786338|Biochemist109854915|CausalAgent100007347|Chemist109913824|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|StockholmUniversityAlumni|SwedishBiochemists|SwedishNobelLaureates|NobelLaureatesInPhysiologyOrMedicine|PeopleFromHalmstad|YagoLegalActor}"
"NULL","Howard Martin Temin","Nobel Prize in Physiology or Medicine","1934-12-10","1934-01-01T00:00:00+02:00","NULL","NULL","NULL","United States","{California Institute of Technology|Swarthmore College}","Genetics","{agent|person|scientist|owl#Thing|Person|Q215627|Q5|DUL.owl#Agent|DUL.owl#NaturalPerson|Scientist|Acquirer109764201|Alumnus109786338|AmericanGeneticists|AmericanNobelLaureates|Biologist109855630|CausalAgent100007347|Geneticist110126424|Honoree110183757|Intellectual109621545|Laureate110249011|LivingThing100004258|Object100002684|Organism100004475|Person100007846|Recipient109627906|Scholar110557854|Scientist110560637|Whole100003553|YagoLegalActorGeo|PhysicalEntity100001930|SwarthmoreCollegeAlumni|NobelLaureatesInPhysiologyOrMedicine|YagoLegalActor}"
